190.0#4.51#1441630508.14#14:55, 07. Sep 2015
190.0#4.57#1441637689.38#16:54, 07. Sep 2015
190.0#4.55#1441644875.08#18:54, 07. Sep 2015
190.0#4.55#1441652062.3#20:54, 07. Sep 2015
190.0#4.56#1441659248.39#22:54, 07. Sep 2015
190.0#4.56#1441666432.32#00:53, 08. Sep 2015
190.0#4.54#1441673614.04#02:53, 08. Sep 2015
190.0#4.55#1441680793.86#04:53, 08. Sep 2015
190.0#4.54#1441687971.83#06:52, 08. Sep 2015
190.0#4.55#1441695148.46#08:52, 08. Sep 2015
190.0#4.5#1441702324.63#10:52, 08. Sep 2015
190.0#4.51#1441709500.82#12:51, 08. Sep 2015
190.0#4.55#1441716679.23#14:51, 08. Sep 2015
190.0#4.52#1441723861.29#16:51, 08. Sep 2015
190.0#4.55#1441731047.23#18:50, 08. Sep 2015
190.0#4.55#1441738234.03#20:50, 08. Sep 2015
190.0#4.55#1441745419.94#22:50, 08. Sep 2015
190.0#4.55#1441752604.23#00:50, 09. Sep 2015
190.0#4.51#1441759786.65#02:49, 09. Sep 2015
190.0#4.56#1441766967.24#04:49, 09. Sep 2015
190.0#4.52#1441774146.03#06:49, 09. Sep 2015
190.0#4.49#1441781323.36#08:48, 09. Sep 2015
190.0#4.57#1441788500.13#10:48, 09. Sep 2015
190.0#4.55#1441795677.14#12:47, 09. Sep 2015
190.0#4.51#1441802855.48#14:47, 09. Sep 2015
190.0#4.56#1441810036.35#16:47, 09. Sep 2015
190.0#4.56#1441817220.4#18:47, 09. Sep 2015
187.8#4.56#1441824406.2#20:46, 09. Sep 2015
188.0#4.56#1441831591.28#22:46, 09. Sep 2015
190.0#4.56#1441838774.29#00:46, 10. Sep 2015
190.0#4.53#1441845955.27#02:45, 10. Sep 2015
189.6#4.53#1441853134.19#04:45, 10. Sep 2015
189.4#4.54#1441860311.33#06:45, 10. Sep 2015
190.0#4.55#1441867487.15#08:44, 10. Sep 2015
189.8#4.54#1441874662.21#10:44, 10. Sep 2015
189.9#4.56#1441881837.78#12:43, 10. Sep 2015
190.0#4.53#1441889015.02#14:43, 10. Sep 2015
190.0#4.52#1441896194.13#16:43, 10. Sep 2015
189.8#4.57#1441903374.82#18:42, 10. Sep 2015
187.2#4.57#1441910555.96#20:42, 10. Sep 2015
187.2#4.54#1441917736.3#22:42, 10. Sep 2015
188.0#4.51#1441924915.68#00:41, 11. Sep 2015
189.6#4.57#1441932093.77#02:41, 11. Sep 2015
189.6#4.53#1441939271.03#04:41, 11. Sep 2015
189.6#4.51#1441946447.39#06:40, 11. Sep 2015
189.1#4.54#1441953623.13#08:40, 11. Sep 2015
188.3#4.56#1441960798.69#10:39, 11. Sep 2015
188.3#4.57#1441967974.96#12:39, 11. Sep 2015
188.4#4.49#1441975152.04#14:39, 11. Sep 2015
189.1#4.52#1441982330.86#16:38, 11. Sep 2015
189.4#4.56#1441989512.22#18:38, 11. Sep 2015
188.7#4.53#1441996695.86#20:38, 11. Sep 2015
188.0#4.57#1442003879.35#22:37, 11. Sep 2015
188.2#4.52#1442011061.17#00:37, 12. Sep 2015
189.3#4.53#1442018241.54#02:37, 12. Sep 2015
189.5#4.56#1442025419.78#04:36, 12. Sep 2015
189.5#4.56#1442032596.84#06:36, 12. Sep 2015
188.0#4.53#1442039772.62#08:36, 12. Sep 2015
186.0#4.53#1442046947.81#10:35, 12. Sep 2015
185.1#4.5#1442054123.46#12:35, 12. Sep 2015
183.3#4.53#1442061302.22#14:35, 12. Sep 2015
181.5#4.52#1442068485.37#16:34, 12. Sep 2015
181.2#4.55#1442075673.76#18:34, 12. Sep 2015
179.8#4.54#1442082863.84#20:34, 12. Sep 2015
184.1#4.53#1442090052.48#22:34, 12. Sep 2015
184.5#4.52#1442097238.52#00:33, 13. Sep 2015
185.1#4.51#1442104422.86#02:33, 13. Sep 2015
184.3#4.51#1442111605.28#04:33, 13. Sep 2015
184.3#4.49#1442118786.35#06:33, 13. Sep 2015
185.8#4.5#1442125966.42#08:32, 13. Sep 2015
184.6#4.55#1442133145.99#10:32, 13. Sep 2015
181.9#4.54#1442140326.22#12:32, 13. Sep 2015
185.7#4.54#1442147509.06#14:31, 13. Sep 2015
184.0#4.51#1442154694.53#16:31, 13. Sep 2015
182.8#4.49#1442161881.6#18:31, 13. Sep 2015
181.9#4.55#1442169069.16#20:31, 13. Sep 2015
185.4#4.55#1442176255.97#22:30, 13. Sep 2015
184.5#4.52#1442183441.86#00:30, 14. Sep 2015
184.5#4.53#1442190626.58#02:30, 14. Sep 2015
185.3#4.51#1442197810.24#04:30, 14. Sep 2015
184.3#4.51#1442204992.67#06:29, 14. Sep 2015
183.9#4.56#1442212174.03#08:29, 14. Sep 2015
183.1#4.51#1442219354.69#10:29, 14. Sep 2015
181.1#4.49#1442226535.76#12:28, 14. Sep 2015
184.9#4.57#1442233718.24#14:28, 14. Sep 2015
183.9#4.5#1442240902.84#16:28, 14. Sep 2015
183.1#4.52#1442248089.11#18:28, 14. Sep 2015
180.0#4.54#1442255275.97#20:27, 14. Sep 2015
184.3#4.51#1442262462.58#22:27, 14. Sep 2015
184.3#4.52#1442269648.24#00:27, 15. Sep 2015
184.5#4.54#1442276832.99#02:27, 15. Sep 2015
184.7#4.55#1442284016.67#04:26, 15. Sep 2015
183.4#4.51#1442291199.6#06:26, 15. Sep 2015
183.1#4.53#1442298381.98#08:26, 15. Sep 2015
182.7#4.51#1442305564.16#10:26, 15. Sep 2015
182.7#4.54#1442312747.35#12:25, 15. Sep 2015
186.4#4.53#1442319932.3#14:25, 15. Sep 2015
186.4#4.49#1442327119.26#16:25, 15. Sep 2015
184.2#4.57#1442334307.44#18:25, 15. Sep 2015
181.2#4.52#1442341495.87#20:24, 15. Sep 2015
185.2#4.49#1442348683.32#22:24, 15. Sep 2015
185.4#4.52#1442355869.71#00:24, 16. Sep 2015
185.6#4.53#1442363054.75#02:24, 16. Sep 2015
185.9#4.5#1442370238.73#04:23, 16. Sep 2015
184.7#4.55#1442377421.87#06:23, 16. Sep 2015
184.4#4.54#1442384604.14#08:23, 16. Sep 2015
183.2#4.48#1442391785.71#10:23, 16. Sep 2015
183.2#4.55#1442398967.78#12:22, 16. Sep 2015
187.8#4.52#1442406150.8#14:22, 16. Sep 2015
187.7#4.52#1442413335.73#16:22, 16. Sep 2015
185.6#4.52#1442420522.91#18:22, 16. Sep 2015
182.8#4.51#1442427711.12#20:21, 16. Sep 2015
186.3#4.53#1442434899.15#22:21, 16. Sep 2015
186.3#4.54#1442442086.39#00:21, 17. Sep 2015
185.6#4.52#1442449272.85#02:21, 17. Sep 2015
185.5#4.53#1442456458.91#04:20, 17. Sep 2015
185.0#4.53#1442463644.52#06:20, 17. Sep 2015
184.6#4.55#1442470829.58#08:20, 17. Sep 2015
183.7#4.53#1442478014.73#10:20, 17. Sep 2015
183.1#4.52#1442485200.85#12:20, 17. Sep 2015
186.4#4.56#1442492388.66#14:19, 17. Sep 2015
185.0#4.52#1442499579.6#16:19, 17. Sep 2015
184.8#4.55#1442506773.68#18:19, 17. Sep 2015
183.4#4.51#1442513969.32#20:19, 17. Sep 2015
187.1#4.54#1442521164.1#22:19, 17. Sep 2015
187.1#4.52#1442528357.03#00:19, 18. Sep 2015
187.3#4.53#1442535548.82#02:19, 18. Sep 2015
187.4#4.5#1442542739.22#04:18, 18. Sep 2015
186.4#4.5#1442549928.31#06:18, 18. Sep 2015
185.5#4.53#1442557116.41#08:18, 18. Sep 2015
184.7#4.54#1442564304.04#10:18, 18. Sep 2015
183.4#4.48#1442571492.16#12:18, 18. Sep 2015
187.4#4.53#1442578682.24#14:18, 18. Sep 2015
187.4#4.55#1442585875.52#16:17, 18. Sep 2015
187.4#4.53#1442593071.66#18:17, 18. Sep 2015
185.7#4.51#1442600268.77#20:17, 18. Sep 2015
190.0#4.52#1442607464.55#22:17, 18. Sep 2015
190.0#4.52#1442614659.01#00:17, 19. Sep 2015
190.0#4.53#1442621852.21#02:17, 19. Sep 2015
190.0#4.56#1442629044.03#04:17, 19. Sep 2015
189.4#4.51#1442636234.45#06:17, 19. Sep 2015
187.7#4.53#1442643423.36#08:17, 19. Sep 2015
185.9#4.55#1442650611.32#10:16, 19. Sep 2015
185.7#4.53#1442657798.57#12:16, 19. Sep 2015
188.4#4.54#1442664985.68#14:16, 19. Sep 2015
186.9#4.52#1442672173.52#16:16, 19. Sep 2015
184.8#4.51#1442679362.31#18:16, 19. Sep 2015
182.5#4.5#1442686551.08#20:15, 19. Sep 2015
185.9#4.56#1442693739.14#22:15, 19. Sep 2015
185.9#4.5#1442700926.18#00:15, 20. Sep 2015
185.9#4.51#1442708111.78#02:15, 20. Sep 2015
186.1#4.53#1442715295.76#04:14, 20. Sep 2015
185.0#4.51#1442722478.95#06:14, 20. Sep 2015
184.3#4.55#1442729660.82#08:14, 20. Sep 2015
183.7#4.55#1442736842.35#10:14, 20. Sep 2015
181.9#4.53#1442744023.57#12:13, 20. Sep 2015
185.4#4.52#1442751206.63#14:13, 20. Sep 2015
183.5#4.55#1442758392.64#16:13, 20. Sep 2015
183.5#4.56#1442765581.71#18:13, 20. Sep 2015
181.8#4.52#1442772771.63#20:12, 20. Sep 2015
186.8#4.52#1442779960.38#22:12, 20. Sep 2015
186.8#4.47#1442787147.26#00:12, 21. Sep 2015
186.8#4.53#1442794332.06#02:12, 21. Sep 2015
186.8#4.52#1442801514.67#04:11, 21. Sep 2015
185.3#4.48#1442808695.63#06:11, 21. Sep 2015
185.1#4.51#1442815874.69#08:11, 21. Sep 2015
184.5#4.42#1442823052.62#10:10, 21. Sep 2015
183.9#4.52#1442830230.17#12:10, 21. Sep 2015
187.3#4.53#1442837410.06#14:10, 21. Sep 2015
185.7#4.53#1442844593.99#16:09, 21. Sep 2015
